nahuatl,spanish
¿Quexquich oipatic inin cahuayo?,Cuanto costó este caballo.?
"Auh yn mexica yn itoca Huitzilatl yn ipilhuan omentin: yn icce ytoca Azcaxotzin cihuatl, yn icome ytelpoch ytoca Teuhtlehuac.","Un mexica llamado Huitzílatl tenía dos hijos: la primera se llamaba Azcaxochtzin, y el segundo se llamaba Teuhtléhuac."
"Nimantzin inan se ichpochtli, yejhuan quipiaya se xcuajli espíritu, oquimat ica Jesús nemiya ne ipan on cajli.Yejhua oyaj itech niman ixpan onotlacuenquetz.","Más bien, en seguida oyó de él una mujer cuya hija tenía un espíritu inmundo, y vino y cayó a sus pies"
"Nican ypan in yn quinhualyaochihuaya in quinhualpehuaya in mexica yn oncan Chapultepec, Hueytenanco ynchan yn quinyaochihuaco; oncan cacique oncan quimictique yn teomama Cuauhtlequetzqui.",En este año los de Hueytenanco fueron a hacer la guerra a los mexicas en Chapoltépec; allá capturaron al teomama Cuauhtlequetzqui y lo sacrificaron.
"Oncateh totomeh ica inihuitz chichiltic, matlaltic ihuan xoxoctic.","Hay aves con plumas rojas, azules y verdes."
Auh amo momati tle ytoca yn quahuitl.,Y no se sabe cuál era el nombre del árbol.
XALKAPOLIN,CAPULÍN DE MONTE
Amo niquinixmati noteixhuan nian no teahuan ipampa nemih ipan occe hueyi tlalnantli.,"No conozco a mis primos, ni a mis tíos y tías, porque vi-ven en otro continente."
"Yejhua ijquin mitzijlia: Nejhua nicmatzticaj nochi tlen ticchihua niman no nicmatzticaj canon tichanti.Tichanti campa on Satanás quipia itrono.Pero masqui nepa tichanti, notech ticuajpixtiu motlaneltoc.Masqui oquimictijquej on yejhuan melahuac notenojnotzacau Antipas ompa campa chanti Satanás, tejhua xotinechcau.","Yo conozco dónde habitas: donde está el trono de Satanás.Y retienes mi nombre y no has negado mi fe, aun en los días de Antipas, mi testigo fiel, quien fue muerto entre vosotros, donde mora Satanás"
"Quemaj oquinisihuijquej, niman oquijlijquej: ―¡Cuajli xnemi, tiinRey on hebreos!Niman oquixayacahuijhuitequej.",y venían hacia él y le decían: --¡Viva el rey de los judíos!Y le daban de bofetadas
"Auh nicnocuecuexantia in nepapan ahuiac xochitl in huel teyolquima, ahuiac xochitl, in huel teyolquima, in huel tetlamachti nicyhtoa ya: Manozo aca tohuan tihualcalaquini, ma cenca miec in ticmamani. Auh ca tel ye onimatico, nitlanonotzathciz imixpan in tocnihuan. Nican mochipa tiqualtetequizque in tlazonepapan, ahuiac xochitl, yhuan ticuiquihui in nepapan yectli yan cuicatl. Ic tiquemellelquixtizque in tocnihuan, in tlalticpac tlaca, in tepilhuan, cuauhtliya, ocelotl.","Y yo pongo en mi regazo las variadas fragantes flores, las gustosas, las que dan contento, digo: ah, que alguno de nosotros viniera a entrar aquí, muchísimas llevaríamos. Pero, ya que he venido a saber, iré a decirles a nuestros amigos. Aquí siempre vendremos a cortar las preciosas, variadas, fragantes flores y a tomar los variados y bellos cantos. Con ellos daremos placer a nuestros amigos, los señores en la tierra, los príncipes, águilas, tigres."
"Ma ca xtequitican ica on tlacuajli yejhuan saniman tlami, yej xtequitican ica on tlacuajli yejhuan quisa itech Dios yejhuan quitemaca nemilistli para nochipa.Nejhua yejhuan oninochiu Tlacatl mechmacas yejhua in tlacuajli pampa toTajtzin oquipantlatij ica nicpia on tlanahuatijli para ijquin nicchihuas.","Trabajad, no por la comida que perece, sino por la comida que permanece para vida eterna, que el Hijo del Hombre os dará; porque en éste, Dios el Padre ha puesto su sello"
"Yejhua in tlen aman nenconisquej ica in copa quixnescayotia noyesyo yejhuan ica notzimpehualtia on yencuic pacto, niman in noyesyo toyahuis para miyequej tlapojpolhuilos intlajtlacol.","porque esto es mi sangre del pacto, la cual es derramada para el perdón de pecados para muchos"
"Ce cualli tonalli, Alfredo. Huel miac nopaquiliz mochihua, yehuehcatica ihuan quimach axcan timitzita. Cuatezonohuayan niaznequi. Mach achto niconiznequi tepitzin cafen. ¿Amo nohuan tiaznequi?","Buenos días, Alfredo. Encantado de verte después de tanto tiempo. Quiero irme a una peluquería. Pero antes pienso tomar una taza de café. ¿No tienes ganas de acompañarme?"
Quemaj on fariseos oquijlijquej: ―Xquita.On monomachtijcahuan tequitij ipan in tonajli de nesehuijli.Totlanahuatil xtechcahuilia titequitisquej ipan on tonajli de nesehuijli.,"Los fariseos le decían: --Mira, ¿por qué hacen en los sábados lo que no es lícito"
"On xtlaneltocaquej xquinmelahuayaj intzajlan nemisquej.On tocnihuan quistinemiyaj neca campa tlapatlaco, niman neca ipan tepemej.Oniyanquej ipan teostoyo, niman campa tlalcoyoncan.","El mundo no era digno de ellos.Andaban errantes por los desiertos, por las montañas, por las cuevas y por las cavernas de la tierra"
Nehuatl ni don Diego de San Franciso Gobernador Mexico ytencopatzinco yn por su magestad Noeva España y[u]an alcaldes nispan ohualla y Miguel Ahueyeni quimonamaquilia yn itatzin yn ical catca yn ipatiuh mochihua XXXVII pesos.,Ante mí don Diego de San Francisco governador de Mexico por su magestad y ante los alcaldes parescio Miguel Ahuiani y bendio las casas que fueron de su padre y el precio y balor son treynta y siete pesos.
"pero itlajtol Dios onyas para nochipa.On itlajtol Dios, yejhua on temachtijli yejhuan quitemaca temaquixtilistli yejhuan yomechijlijquej.",pero la palabra del Señor permanece para siempre.Ésta es la palabra del evangelio que os ha sido anunciada
"VIII Calli xihuitl, 1409.","8 Calli, 1409."
"Intzajlan xacaj nemiya yejhuan itlaj quipolojticatca, pampa nochimej on yejhuan quipiayaj intlalhuan noso incalhuan quinnamacayaj, niman on tomin cuajcuiyaj","No había, pues, ningún necesitado entre ellos, porque todos los que eran propietarios de terrenos o casas los vendían, traían el precio de lo vendid"
"Yejhua ocalac ichan Dios niman ihuan itehuicalhuan oquicuaj on pan yejhuan oquihuentlalilijcaj Dios, masqui on itlanahuatil Moisés san quincahuiliaya on tiopixquej quicuayaj on pan.","cómo entró en la casa de Dios y comieron los panes de la Presencia, cosa que no les era lícito comer ni a él ni a los que estaban con él, sino sólo a los sacerdotes"
In teocuitlapitzque,Los fundidores de metales preciosos
"Ompa oncatca se tlaixpan tlachijchiutli ican oro para ipan quipopotzayaj on xochicopajli, niman icaja on pacto yejhuan nochihuiyan tlaixamijli ican oro.Ijtic icaja on pacto oncatca se jarro tlachijchiutli ican oro campa oncatca on tlacuajli itoca maná.No ompa oncatca icojtopil Aarón yejhuan oitzmolin, niman on temej campa onijcuilojquej itlanahuatilhuan on pacto.","Allí estaba el incensario de oro y el arca del pacto enteramente cubierta con oro.En ella estaban un vaso de oro que contenía el maná, la vara de Aarón que reverdeció y las tablas del pacto"
"Nican ipan in omomiquillico yn Totepeuh yn icchicuacen tlahtohuani Culhuacan, yn tlahtocat onpohualxihuitl ipan onxihuitl; auh ça niman ypan in yn omoteneuh xihuitl oncan hualmotlahtocatlalli yn itoca Nauhyotzin yn icome yuhqui ytoca yn ycchicome tlahtohuani mochiuh yn Culhuacan.","En este año murió Totepeuh, sexto tlatohuani de Colhuacan, que gobernó durante 42 años; y luego, en este mismo año, se enseñoreó Nauhyotzin, segundo de este nombre, como séptimo tlatohuani de Colhuacan."
pampa niquita ica nican sanoyej huelis nitequitis niman noscaltis itequiu toTeco.Pero no ijqui niquita ica miyequej nemij yejhuan nechixnamiquij.,"porque se me ha abierto una puerta grande y eficaz, y hay muchos adversarios"
Auh in calli oniquito tlacpac y Zacatenco mani ye in icaltepotzco hican don Baltazar Yzuauacatzin catca yoan niquitoa ynin notestamento yn tla quemanian ymixpan neciz yn quimopielia justicia ma quimoneltililizque ca yeuatli y za tlatzacca notlanequiliz.,Y las casas que declara que están en (el barrio de) Zacatenco son detras de las casas de don Baltasar Yzhuahuacatzin; y así mismo que si en algun tiempo paresciere este mi testamento ante la justicia lo manden guardar porque es mi ultima y postrimera voluntad.
"Ijcuac nejhua inhuan ninemiya ipan in tlalticpactli, on yejhuan otinechinmacac oniquinmanahuij ican mopoder.Oniquinmanahuij niman nion se xopoliu, yej san yejhua on yejhuan ye ijqui oncatca para polihuis para otenquis on tlen quijtohua on Yectlajcuilojli.","Cuando yo estaba con ellos, yo los guardaba en tu nombre que me has dado.Y los cuidé, y ninguno de ellos se perdió excepto el hijo de perdición, para que se cumpliese la Escritura"
"Nican ypan in polliuhque yn cuetlaxteca; oc ypan yn peuh yaoyotl yn Huehue Moteuhcçomatzin Ylhuicamina, auh yehuatl quitlamico yn Axayacatzin.","En este año perecieron los cuetlaxtecas; la guerra había comenzado en tiempos de Huehue Moteuczomatzin Ilhuicamina, y la vino a terminar Axayacatzin."
"Naranjah, limonmeh, tetzotzoh ihuan manxanah nohuiampa in tlalnanyotl momacah.","Naranjas, limones, nueces y manzanas se dan en diferentes partes del país."
"Ipan macuilli tecpatl xihuitl, in anglitlaltecah ihuan huei ehecatl ihuan in quiahuitl quitlapoloque miec caxtillanacalli in zatepan omoteneuh ""Amo Pololoni in Yaoquizcaacallan"".","En un año 5 pedernal fue des   truida por los ingleses y una       tempestad la llamada ""Armada Invencible""."
"Auh ynin omoteneuh Yllancueytl Atlauhtecatlteuhctli amoma huel ompa yah yn Tzacualtitlan Tenanco Chiconcohuac Amaquemecan, çan oncan mocauh oncan tlahtocat yn Atenco yntlan yn oncan mocauhque tlahco yn tenanca chichimeca.","Y este dicho Ilancuéitl Atlauhtecatlteuctli nunca había ido a Tzacualtitlan Tenanco Chiconcóhuac Amaquemecan, sino que se quedó en Atenco, gobernando a la mitad de los tenancas chichimecas que allí se habían quedado."
Y mic Tozcuecuex nehua mique yn Quauhtliquetzqui; yn oumique niman yc omotlali Uitzilliuitl.,"Cuando murió Tozcuécuex, murió asimismo Cuauhtliquetzqui; luego se asentó Huitzilíhuitl."
In xochimila itlac calli ca.,El jardín está junto a la casa.
Cempoalli nohpalli,20 nopales
"No kiluiaj xaltotomat. In xiuit. No mokejketsa, pero como ke tepitsin mososoua.","También le dicen xaltotomat, esta yerba también crece, pero se inclina un poquito."
"Yn oacique Tlatzalla unca moquequezque y mexica, uncan mic yn Tlotepetl yoan yueltiuh Uitzilmoyaual.","Y cuando llegaron a Tlatzallan, allí se detuvieron los mexicas; allí murieron Tlotépetl y su hermana mayor Huitzilmoyáhual."
"Auh çanno ycuac yn mochintin hualmocenhuicaque yn España, in cenca mahuiztililoteotica tlahtohuani doctor Juan Gutiérrez Flores ynquisidor menor ytemanahuicatzitzinhuan yn cenquizcacualtlaneltoquiliztli la fee in nican Mexico no yhcuac yn maxitico, yniqu inehuantzin onmotlalitzinoque in yehuatzin ye huecauh nican moyetztica inquisidor mayor Gutierre Bernardo de Quirós.","Cuando todos estos vinieron de España, llegó también el muy reverendo señor doctor Juan Gutiérrez Flores, inquisidor menor, de los defensores de la santa fe en México, para compartir su cargo con Gutierre Bernardo de Quirós, que desde hacía bastante tiempo era aquí inquisidor mayor."
In sakat.,Es zacate (sakat).
Achto se kimana.,Primero se hierven.
Auh ynic nicmati ynic amo za niztlacati ca no honpa nitlalchiuaya in calpolalpan auh mochipa oncan nopan quizaya yn Atlixeliuhqui yuic quitquitiuh ynic oquipetlauh in tlali yn axcan ypan moteylhuia in itoca Maria auh ca neli ipiltzin yn axcan moteylhuia ysquich in niquitoua notlatol nican nomatica niquetza cruz. Paso ante mi Miguel de los Angeles escribano.,"Y lo sé y no sólo miento ya que también allá trabajaba la tierra, en las tierras del calpulli. Siempre alli me encontraba a Atlixeliuhqui llevaba su uictli, con el que destapó la tierra sobre la cual ahora se demanda la llamada María. La que ahora se demanda en verdad es su hija.Es toda mi palabra que digo una cruz pongo aqui con mi mano. Pasó Ante mí Miguel de los Angeles, escribano."
Conitoa: “A uey ynic teca omocacaiauh yn tenochcatl; no tonehuac yn iyollo yn atlipan tepetlipa tlatoca”.,Les dijo también: “Mucho abusó el tenochca de los pueblos; por eso se afligió el corazon de los tlatoque”.
Mochiua mas kampa kajfentaj.,Se da más en el cafetal.
"¿Catlejhua más xtepopoloj niquijtos: “Motlajtlacolhuan yotlapojpolhuilojquej”, noso niquijtos: “Xmoquetztehua, xcajcocui motlapech niman xnejnemi”?","¿Qué es más fácil, decir al paralítico: ""Tus pecados te son perdonados""; o decirle: ""Levántate, toma tu camilla y anda"""
"Pero tla sa no tejhuamej achtopa cuajli titoyolitasquej tla ticpiaj tlajtlacojli, xticselisquej itlahuel Dios.","Pero si nos examináramos bien a nosotros mismos, no se nos juzgaría"
"In kuamekat, majyá yon kaxtapan tejko, xoxoktik in imekayo.","Es bejuco (kuamekat), se parece al quiebraplatos, se enreda, la guía es verde."
"On yejhuan yoquixmatquej toTeco Jesucristo aquin toTemaquixtijcau yonotzinquixtijquej itech on tlen xcuajli yejhuan on tlalticpactlacamej quichihuaj.Pero tla yejhuamej ocsejpa nocuepaj para quichihuasquej on quen on xcuajli tlajtlamach yejhuan quinyoltlani, más xcuajli nocahuas innemilis xquen achtoj quipiayaj.","Porque si los que se han escapado de las contaminaciones del mundo por el conocimiento de nuestro Señor y Salvador Jesucristo se enredan de nuevo en ellas y son vencidos, el último estado les viene a ser peor que el primero"
"On yejhuan ontlamatztoquej ipan on tlajtlamach yejhuan intlalnacayo quinequi, tlahuelicniutin nemij ihuan Dios pampa nion xquinequij quitlacamatisquej itlanahuatil, nion xhuelij quitlacamatij.","Pues la intención de la carne es enemistad contra Dios; porque no se sujeta a la ley de Dios, ni tampoco puede"
Xmotacan sa no nemejhuamej.Xquipia tlica nenhuetzisquej pampa ye nemechmachiltijticaj nochi tlen nochihuas.,"Pero vosotros, ¡mirad!Os lo he dicho todo de antemano"
"'Ijcuac in nochijticatca, on teconeu yejhuan yencuiyotl nemiya ipan tepetl.Niman ijcuac ohuajnocuepato niman oajsic nisiu ichan, oconcac on tlapitzquej ichan niman no ocontac nijtotihua.","Su hijo mayor estaba en el campo.Cuando vino, se acercó a la casa y oyó la música y las danzas"
"Yejhua ica, tej, on achtoj pacto no onotzimpehualtica ica miquilistli ijcuac on yestli otoyau.","Por esto, ni aun el primer testamento fue inaugurado sin sangre"
"Quemaj on yejhuan yomica onotlalij niman opeu tlajtlajtohua, niman Jesús oquimactilij inan.",Entonces el que había muerto se sentó y comenzó a hablar.Y Jesús lo entregó a su madre
"¡Omexayacyejquej!Nemejhuamej hueli nencajsicamatij tlinon nochihuas ne ipan cielo niman nican tlalticpac.¿Tlica, tej, xhueli nencajsicamatij tlinon quijtosnequi on tlen nicchihua ipan in tonaltin?","¡Hipócritas!Sabéis interpretar el aspecto del cielo y de la tierra, ¿y cómo no sabéis interpretar este tiempo"
"Nimantzin onosentlalijtetzquej sanoyej tojlamej tlacamej hasta xoc onaquiyaj.Sanoyej oten on cajli, nion siquiera ne quiahuatenco xoc onaquiyaj.Yejhua quitemachtiaya on itlajtol toTajtzin.","Muchos acudieron a él, de manera que ya no cabían ni ante la puerta; y él les hablaba la palabra"
"Huel yc mochtin opahpacque ohuelamatque yn nican tlahtocaaltepehuaque; auh niman hualmohuicazquia yn teoyotica tlahtohuani, çan niman oncan hualmehualtizquia yn itecpanchantzinco ynic hualmiquanitzinozquia huey tecpa palacio, atle onmantozquia yn iuh conmonequiltiaya, auh yece yn ciudad tlaca çan nima amo yuh oquinecque ynic ompa mohuicac, oc ompa conmotzicalhuique ynic ompa oc motlatlatolchiallito Atlacohuayan ymacehualpan yn Marqués del Valle, uncan vicario mochiuhtica ymachtzin ytoca fray Jerónimo Gerra, oc ompa ytlan moyetzticatca, yn oquic tlachichihuallo || 151 mocencahua yn ixquich monequiz yc namicoz.","Mucho se alegraron y regocijaron por ello todos los habitantes del reino; y enseguida iba a trasladarse el señor arzobispo, iba a mudarse de su residencia al palacio, quería hacerlo sin dilación, pero las autoridades de la ciudad no consintieron que lo hiciera, sino que lo retuvieron hasta que se le fuera a avisar en Atlacohuayan, en dominios del Marqués del Valle, donde era vicario su sobrino fray Jerónimo Guerra, con quien estaba, mientras se preparaba todo lo necesario para su recibimiento."
"Auh çan iquac yn yn iuh mochihuaya in mixtica tlayohuatimomanaya, in ye quiyahuiznequi niman ic pehuaya yn tlatzilliniloya noyan teopan, oncan quipehualtiaya yn iglesia mayor; ca ytlanel yohualtica yn çaço quenmaca, tlatziliniloya yzquican ynic quiyauhtlaçalloya.","Esto se hacía cuando el cielo se oscurecía por las nubes, pues en cuanto amenazaba la lluvia comenzaban a tocar las campanas en todas las iglesias, empezando por la iglesia mayor; no importando si era de noche o cualquier otra hora, se tocaban las campanas para ahuyentar la lluvia."
"Amo onontlati, Carlohtzin. Ye in Mexihco huele hueyi yeyi millón chatiehqueh quinpia. Huel mimichtic, quemanian cana omexipa ce amo  conamiqui aca quixmati ihuan quemanian ocpa ce onmonamiqui ipan ce tonailizan ica ce tlacatl.","No me he escondido don Carlos. Es que México es muy grande y tiene tres millones de habitantes. Es muy chistoso, a veces no se encuentra  uno con un conocido durante dos años y a veces se encuentra uno dos veces con la misma persona en el mismo día."
"Pero yejhuamej quinequiyaj se chanyotl más cuajli, se chanyotl yejhuan ilhuicac oncaj.Yejhua ica Dios xpinahua para Dios yes intech yejhuamej niman yoquinchijchihuilij se chanyotl.","Pero ellos anhelaban una patria mejor, es decir, la celestial.Por eso Dios no se avergüenza de llamarse el Dios de ellos, porque les ha preparado una ciudad"
"Pero ijcuac ontlachixquej, oquitaquej ica on tetl yejhuan sanoyej hueyi ye cueptoc.","Pero cuando miraron, vieron que la piedra ya había sido removida, a pesar de que era muy grande"
"'Xmotacan sa no nemejhuamej intech on tlacajcayajquej tiotlajtojquej yejhuan quijtohuaj tenojnotzaj ican itemachtil Dios.Yejhuamej huajlahuij nemotech, niman nesij quen cuajli tlacamej, pero quinequij quixoxotonisquej nemotlaneltoc.","""Guardaos de los falsos profetas, que vienen a vosotros vestidos de ovejas, pero que por dentro son lobos rapaces"
"Jesús oquijlij: ―Notetlajsojcau, ¿tlinon ica tihuajlau?Quemaj on tlacamej oquinisihuijquej Jesús, niman ocajsiquej.","Pero Jesús le dijo: --Amigo, haz lo que viniste a hacer.Entonces ellos se acercaron, echaron mano a Jesús y le prendieron"
"Niman nochimej on tlaneltocaquej, niman nochimej yejhuan oquimatquej on tlen onochiu, sanoyej onomojtijquej.",Y gran temor sobrevino a la iglesia entera y a todos los que oían de estas cosas
"Nocnihuan, tla se tocniu quitlalcahuiya on ojtli yejhuan melahuac niman yacaj cuajcuepas ocsejpa,","Hermanos míos, si alguno entre vosotros es engañado, desviándose de la verdad, y otro le hace volver"
Xquelnamiquican tlinon ipan onochiu isihuau Lot.,Acordaos de la mujer de Lot
"Pero ijcuac on medieros oquitaquej on teconeu, opeu ijquin quinojlaj: “Yejhua in iconeu on tlalejquetl.Ijcuac miquis itaj, yejhua yes iyaxca nochi in tlajli.Aman ma ticmictican para totech nocahuas on herencia.”","Pero al ver al hijo, los labradores dijeron entre sí: ""Éste es el heredero.Venid, matémosle y tomemos posesión de su herencia."
"Quemaj nimantzin on Espíritu Santo oquiyecan notlamachilis ican poder.Quemaj oniquitac se hueyixticaj trono ne ilhuicac, niman ipan on hueyixticaj trono aquinonon yehuaticatca.","De inmediato estuve en el Espíritu; y he aquí un trono estaba puesto en el cielo, y sobre el trono uno sentado"
"Nemejhuamej nenquitlajsojtlaj Jesucristo masqui xqueman onenquitaquej.Masqui aman xnenquitaj, nenquineltocaj niman nempaquij ican paquilistli yejhuan ajsiticaj.In paquilistli sanoyej hueyi niman xhueli nochi nenquipanextiaj ican tlajtojli.","A él le amáis, sin haberle visto.En él creéis; y aunque no lo veáis ahora, creyendo en él os alegráis con gozo inefable y glorioso"
'Ma ca xquitquican tomin.,"""No os proveáis ni de oro, ni de plata, ni de cobre en vuestros cintos"
"Auh xicmomachiltican, notiachcahuané noteyccahuané, ca yn yehuantin yn xochimilca niman ompa omotlallito yn Xochimilco; auh ca y yehuantin chalca niman ompa omotlallito yn Chalco; auh y yehuantin yn tepaneca niman omotlallito || 78v ompa yn Tlacupan, auh yn intlahtocauh ca omotlallito omocallotito Azcapotzalco; auh y yehuantin yn acolhuaque niman ompa omotlallito yn Acolhuacan Tetzcoco; auh in yehuantin yn tlalhuicca ca niman ompa tlamellauhque ompa yn omotlallito Aquauhnahuac yn axcan ye tiquitohua Quauhnahuac, auh amo çan ixquich yn oncan yn omotlallito Quauhnahuac yn tlalhuicca, ca no yhuian yn omotlallique yn ixquich Marqués ytlal yn quitohua castilteca Marquesado; auh in yehuantin yn tlaxcalteca niman ompa omotlallito yn Texcallan yn axcan mitohua Tlaxcallan; auh in yehuantin yn teotenanca niman ompa omotlallito yn Tenanco Texocpalco Tepopolla yhuan cequintin ompa motlallito yn Tzaqualtitlan Tenanco Amaquemecan; auh in yehuantin yn amaquemeque totollinpaneca niman ompa omotlallito yn Amaquemecan.","Sabed, hermanos míos, que los xochimilcas fueron enseguida a asentarse en Xochimilco; que los chalcas fueron enseguida a asentarse en Chalco; que los tepanecas fueron enseguida a asentarse en Tlacopan, y que su tlatohuani fijó su residencia en Azcapotzalco; que los acolhuas fueron enseguida a asentarse en Acolhuacan Tetzcoco; que los tlalhuicas fueron enseguida a asentarse en Acuauhnáhuac, que ahora llamamos Cuauhnáhuac, aunque no todos los tlalhuicas se asentaron en Cuauhnáhuac, pues algunos se fueron asentando por todo el territorio del Marqués que los castellanos llaman el Marquesado; que los tlaxcaltecas fueron enseguida a asentarse en Texcallan, que ahora se nombra Tlaxcallan; que los teotenancas fueron enseguida a asentarse en Tenanco Texocpalco Tepopolla y que algunos de ellos se asentaron también en Tzacualtitlan Tenanco Amaquemecan; y que los amaquemecas totolimpanecas fueron enseguida a asentarse en Amaquemecan."
In amo se kitoka.,No se siembra.
"Ijcuac on hebreos oquitaquej on tojlamej, sanoyej otlahuelmiquej.Quemaj opeu quitlajtolixnamiquij Pablo niman cuijhuicaltiayaj.","Y cuando los judíos vieron las multitudes, se llenaron de celos, y blasfemando contradecían lo que Pablo decía"
tlanamacah,venden
"Oquinmoquixtilito inchachantzinco nochtintzitzin tlacame. Amotla omocalactiaya. Iman tica on oquinmomictilique notatzín, notiotzitzihuan. Cetzin notíotzin chicahque tlatihuani ihuan occetzín ye tocoltzin. Yomomiquilitaya icuac ocalaque calitic carrancistas ihuan inintzin coli oquinmanalique ican tlali oquimomochilique.",Fueron a sacar a todos los señores de sus casas. No se habían metido en nada de política. Mataron a mi padre y a mis tíos. Uno de mis tíos era hombre fuerte y el otro era un viejito. Estaba agonizando cuando entraron los carrancistas a su casa y agarraron al anciano y lo arrojaron contra el suelo.
Quemaj on yejhuan sepojtoya onotelquetz niman oyaj ichan.,Y se levantó y se fue a su casa
Yei axoxtlantli,3	dientes de ajo
Niman ipan on ocse sábado onosentlalijquej sa quen nochimej on chanejquej para caquisquej on itlajtoltzin Dios.,El sábado siguiente se reunió casi toda la ciudad para oír la palabra de Dios
Yehuiptla.,anteayer
Kualtia:,Usos:
Iujki monotsa tak por in nejnextik.,Tal vez se llama así porque sus hojas son grises.
"Niman oquijtoj: ―NoTajtzin, tejhua tihueli nochi.Xnechmaquixti ican in tlajyohuilistli yejhuan nechcha, pero ma ca ma nochihua quen nejhua nicnequi, yej ma nochihua quen tejhua ticnequi.","Decía: --¡Abba, Padre, todo es posible para ti!¡Aparta de mí esta copa!Pero no lo que yo quiero, sino lo que tú quieres"
"¿ Cuix onca niquimittaz? ¿lmixco nontlachiaz in nonan, nota? ¿ln cuix nechalmacazque in cuic, in tlatol? Nocontemohua atle onteca, techicnocauhque in tlalticpac.","¿Acaso allí podré contemplar, podré ver el rostro de mi madre, de mi padre? ¿Se me darán en préstamo allí algunos cantos, algunas palabras? Allí tendré que bajar, nada es lo que espero: nos dejaron, acompañados con la tristeza en la tierra."
nemi,el vive
"IX Tecpatl xihuitl, 1072.","9 Técpatl, 1072."
"Yc niman concuique yn in tetech acia, yc niman ye huitze ye quihuicatze yn Huehue Tziuhtlacauhqui, yhuan yn cihuatl yn tlacazcaltia yn tlacahuapahua; yc quinhualhuicaque yn imixpan yn tlahtoque, quimixpantico quinnonotzaco yn Quahuitzateuhctli yhuan yn Chichimecateuhctli yn Atonaltzin.","Tomaron, pues, lo que habrían de llevarles, y enseguida Huehue Tziuhtlacauhqui y la mujer que estaba criando y educando al niño vinieron cargando sus regalos; los enviados los condujeron ante la presencia de los tlatoque, y ellos se presentaron y hablaron con Cuahuitzateuctli y con Atonaltzin Chichimecateuctli."
"Ypampa yn amo quimacac yn amo cez yn tlacatecolotl, çan yehuantin quinmacac yn itoca Xochpoyo, yhuan yn itoca yn Tetzauhquacuilli, yhuan yn itoca y Nauhtene, yn itahuan yezque.","Y como el Diablo no quiso darle ese título, a los que serían sus padres les dio sólo los nombres de: Xochpoyo, Tetzauhcuacuilli y Nauhtene."
Quemaj Jesús ijquin oquinnanquilij on inomachtijcahuan Juan: ―Xhuiyan niman xquijlican Juan on tlen nemejhuamej nenquitztoquej niman nencactoquej.,Y respondiendo Jesús les dijo: --Id y haced saber a Juan las cosas que oís y veis
Quichixticate in quenman uitz in quenman calaquiuh Paynalton; in otli quitocaz in tlayaualoz:,"Están en espera de cuando vendrá, cuándo entrará Painalton, el camino que ha de seguir al hacer la procesión:"
maninemi,que viva
"Oyhuin in quinpeuhque yn tepaneca yn coyohuaque ypan in xihuitl, polliuh altepetl Coyohuacan.","Así pues, cuando en este año los mexicas derrotaron a los tepanecas coyohuacas, pereció la ciudad de Coyohuacan."
Chiconycozcaquauhyoc quicauhtiuh yn teucalli.,Y en el día de signo 7 Cozcacuauhtli se interrumpió la construcción del teocalli.
Xchihuacan canica hasta campa nenhuelisquej quen ijqui nemoyolica nennemisquej ihuan nochi tlacatl.,"Si es posible, en cuanto dependa de vosotros, tened paz con todos los hombres"
"Auh yn icontlamantli quihtotihui huehuetque, ytech || 49r quicuitacico yn oncan mani huey atezcatl, yehica ipampa quitocayotiaya i ye huecauh tlaca huehuetque catca Chalchiuhmatlallatl yn atl, auh y huey atezcatl quitocayotiaya Chalchiuhtlicue; auh ynic quichalchiuhytohuaya atl yn acxoteca, yqu itech oquicuique ynic oquimotocayoque chalca.","Una segunda cosa dicen los antiguos, a saber, que tomaron su nombre de la laguna grande que hay allí, porque los antiguos llamaban al agua Chalchiuhmatlálatl, y a la laguna grande la llamaban Chalchiuhtlicue; y porque los acxotecas llamaban ""chalchihuite"" al agua, de allí tomaron su nombre de chalcas."
In iztac teocuitlatl ocachi cuacualtzin queh in chichiltic tepoztli.,La plata es más preciosa que el cobre.
|| 190 El licenciado Diego Núñez de Morquecho						   2,El licenciado Diego Núñez de Morquecho						   2
"Atenco yn tecauhque yn quincauhtiquizca ynpohuan Tequanipan tlaca, yn iuh necitiuh ytlamian in tlahtolli.","Y al pasar por Atenco, dejaron allí a algunos que eran de los mismos tecuanipantlacas, como aparecerá al final de este relato."
Tlahcoxonacatl ahmo huehyi,1/2 cebolla mediana
"Unca quipilloque Uizilopochco tlatoani Macuilxochitzi, nima ye Colhuaca tlatoani Pizozi no uncan quipilloque; yoan Quauhtitla tlacatecatl yoan tlillancalqui quinpelloqualtique.","Allá ahorcaron a Macuilxochitzin, tlatoani de Huitzilopochco, y a Pitzotzin, tlatoani de Colhuacan; al tlacatécatl y al tlillancalqui de Cuauhtitlan los aperrearon."
Monamaka itakilo.Ne keman katka a centavo.,"El fruto se vende, antes era a centavo."
Quemaj oquitlajtlajtohuilijquej on itlajtoltzin toTeco niman nochimej on ocsequimej yejhuan ihuan chantiyaj.,"Y le hablaron la palabra del Señor a él, y a todos los que estaban en su casa"
"Tla ninemis huelis nictequipanos Cristo, niman tla nimiquis nictlanis nochi on tlen Dios nechmacas.","Porque para mí el vivir es Cristo, y el morir es ganancia"
